pore_no,ecc,jagg,axis,ch4,h2,selec
14,0.59096,8.67359,9.92,1,1,0
16,0.490027,17.4055,7.44,1,1,0
18,0.499404,17.3148,9.93,1,1,0
20,0.472511,12.1611,18.28,1,1,0
22,0.613927,13.8653,10.06,1,1,0
24,0.556103,12.1072,10.06,1,1,0
14,0.826786,12.1713,5.67,0,1,1
16,0.872319,10.4629,5.67,0,1,1
18,0.906007,12.2346,5.67,0,1,1
20,0.919742,15.7025,5.67,0,1,1
22,0.934,13.9618,5.67,0,1,1
24,0.945269,16.5454,5.67,1,1,0
26,0.844097,29.875,10.06,1,1,0
28,0.885738,19.11,8.52,1,1,0
18,0.266359,15.5886,8.51,1,1,0
18,0.733573,11.2687,8.51,1,1,0
18,0.719692,21.8009,5.67,0,1,1
18,0.645524,19.1449,11.34,1,1,0
18,0.742729,22.7281,7.37,0,1,1
18,0.703635,10.4021,9.82,1,1,0
18,0.88743,19.1743,4.91,0,0,0
18,0.798408,31.2797,4.91,0,0,0
30,0.965775,19.9945,5.67,1,1,0
10,0.658551,6.97211,5.67,0,0,1
12,0.762857,9.57844,5.67,0,0,1
22,0.64981,31.3477,7.37,1,1,0
14,0.406951,14.8092,9.82,1,1,0
14,0.64379,20.0119,4.25,0,0,0
14,0.682552,13.0649,7.37,0,1,1
14,0.294246,11.3512,7.37,1,1,0
14,0.630669,11.2873,9.82,1,1,0
14,0.840491,9.54642,5.67,0,1,1
14,0.819616,15.6808,4.91,0,0,0
22,0.806252,29.6799,7.37,0,1,1
22,0.303451,13.9215,9.82,1,1,0
22,0.71213,16.5005,9.82,1,1,0
24,0.888313,21.2009,5.67,1,1,0
24,0.472662,19.1844,9.82,1,1,0
24,0.75855,39.2936,7.37,1,1,0
12,0.00190986,7.82566,7.37,1,1,0
12,0.482517,13.08,7.37,0,1,1
16,0.598824,9.55631,9.82,1,1,0
16,0.776928,10.4703,9.82,1,1,0
16,0.546283,12.1909,9.82,1,1,0
16,0.598822,9.55728,8.51,1,1,0
